symbol,name,price,change_price,change_percent,market_price
WTK-USD,WadzPay Token USD,0.029266,0.000164,0.56%,0
MPWR-USD,Empower USD,0.000140,0.000012,9.42%,0
BS27147-USD,Blacksmith Token USD,0.002159,0.000000,0.00%,0
CAPP-USD,Cappasity USD,0.000076,0.000015,24.81%,0
BSOL-USD,BlazeStake Staked SOL USD,203.87,7.54,3.84%,0
MGPT-USD,MotoGP Fan Token USD,0.003751,0.000151,4.18%,0
EGRN-USD,Energreen USD,0.418648,-0.016750,-3.85%,0
HGHG-USD,HUGHUG Coin USD,0.000730,-0.000367,-33.45%,0
SPELLFIRE-USD,Spellfire USD,0.000951,-0.000067,-6.56%,0
KTS-USD,Klimatas USD,0.001813,0.000047,2.65%,0
XPB28442-USD,PowBlocks USD,0.103885,0.001486,1.45%,0
BABYGROK28591-USD,Baby Grok USD,0.00000000,-0.00000000,-1.53%,0
FNZ-USD,Fanzee USD,0.022503,0.000045,0.20%,0
GRAPE28784-USD,GrapeCoin USD,0.024379,-0.000317,-1.28%,0
TEM15288-USD,TemplarDAO USD,2.0860,-0.0003,-0.02%,0
TMNG-USD,TMN Global USD,0.060617,0.000005,0.01%,0
OTSEA-USD,OTSea USD,0.087811,0.002285,2.67%,0
BREPE-USD,BREPE USD,0.00000000,0.00000000,19.53%,0
DUDE-USD,DuDe USD,0.001360,-0.000001,-0.09%,0
RUG21885-USD,RUG RADIO USD,0.035722,0.000000,0.00%,0
CHUB-USD,CallHub USD,0.180494,-0.016221,-8.25%,0
TOAD25177-USD,Toad Killer USD,0.00000001,0.00000000,3.12%,0
ZES-USD,Zetos USD,0.176463,0.002181,1.25%,0
MCF11660-USD,MCFinance USD,0.000971,0.000000,0.01%,0
OCP13471-USD,Omni Consumer Protocols USD,0.009194,0.000001,0.01%,0
TDP-USD,TrueDeck USD,0.000519,0.000013,2.54%,0
GNG-USD,GreenGold USD,0.182564,-0.001726,-0.94%,0
CTRT-USD,Cryptrust USD,0.000034,0.000001,2.27%,0
CADINU22984-USD,Canadian Inuit Dog(NEW) USD,0.00000030,-0.00000000,-0.12%,0
BVC18081-USD,BattleVerse USD,0.000708,-0.000004,-0.57%,0
FCTR-USD,Factor USD,0.103375,0.000350,0.34%,0
AA-USD,A3S Protocol USD,0.598824,0.013647,2.33%,0
UCJL-USD,Utility Cjournal USD,6.9732,0.1817,2.68%,0
WPLS-USD,Wrapped Pulse USD,0.000096,-0.000001,-1.53%,0
AI23955-USD,Chat AI USD,0.000721,-0.000078,-9.75%,0
CORN-USD,CORN USD,11.06,0.15,1.33%,0
TIGERMOON-USD,TigerMoon USD,0.00000000,0.00000000,15.40%,0
MMSC-USD,MMSC PLATFORM USD,0.023494,0.003538,17.73%,0
STUD-USD,Studyum USD,0.001864,0.000000,0.00%,0
MIC19603-USD,MICROCOSM USD,0.621761,-0.003661,-0.59%,0
ZSC-USD,Zeusshield USD,0.000360,0.000060,19.93%,0
GTAN-USD,GIANT USD,0.00000000,0.00000000,1.59%,0
TITAN10467-USD,IRON Titanium Token USD,0.00000002,-0.00000000,-0.79%,0
CML-USD,CamelCoin USD,0.020002,-0.003804,-15.98%,0
SORACEO-USD,SORA CEO USD,0.00000000,0.00000000,0.00%,0
LSDOGE-USD,LSDoge USD,0.00000000,0.00000000,0.21%,0
WATT-USD,WATTTON USD,0.000113,-0.000009,-7.54%,0
LAPTOP-USD,Hunter Biden's Laptop USD,0.000829,-0.000145,-14.88%,0
DCTO-USD,Decentralized Crypto Token USD,0.000034,0.000001,2.26%,0
PLBT-USD,Polybius USD,0.851256,0.021966,2.65%,0
WAGIEBOT-USD,Wagie Bot USD,0.082420,0.000447,0.54%,0
BEEP-USD,BEEP coin USD,0.00000002,0.00000000,0.17%,0
CNAME-USD,Cloudname USD,0.000293,0.000028,10.53%,0
STACKS-USD,STACKS PAY USD,0.00000046,-0.00000000,-0.21%,0
TMT-USD,TopManager USD,0.078928,-0.000004,-0.01%,0
BABYSHIBAINU-USD,Baby Shiba Inu USD,0.00000001,0.00000000,1.22%,0
MNDCC-USD,Mondo Community Coin USD,0.013239,-0.001565,-10.57%,0
BIB-USD,BIB Token USD,0.000102,0.000000,0.12%,0
KLD-USD,Koduck USD,0.00000279,0.00000000,0.00%,0
GRAI-USD,Gravita Protocol USD,0.984483,-0.000071,-0.01%,0
CYS-USD,Cykura USD,0.008295,0.000516,6.63%,0
FIWA-USD,DeFi Warrior (FIWA) USD,0.000084,0.000002,2.34%,0
USK-USD,USK USD,0.997975,0.002134,0.21%,0
JFI-USD,JackPool.finance USD,7.4622,0.0164,0.22%,0
IDH-USD,indaHash USD,0.000240,0.000006,2.45%,0
MEER-USD,Qitmeer Network USD,0.041370,-0.001429,-3.34%,0
ZUCKPEPE-USD,ZuckPepe USD,0.00000000,0.00000000,0.96%,0
DGI29112-USD,DGI Game USD,0.049766,-0.003367,-6.34%,0
SOCOLA-USD,SOCOLA INU USD,0.000017,-0.000001,-8.03%,0
SUDO-USD,sudoswap USD,0.186927,-0.003800,-1.99%,0
PLXY-USD,Plxyer USD,0.021005,-0.000131,-0.62%,0
BTCV-USD,BitcoinV USD,0.000697,0.000018,2.65%,0
TAUM-USD,Orbitau Taureum USD,0.000050,-0.000000,-0.43%,0
NYAN11854-USD,ArbiNYAN USD,0.005042,0.000025,0.50%,0
KPL-USD,Kepple USD,0.000112,0.000003,2.67%,0
BLUESPARROW20686-USD,BlueSparrow Token USD,0.055576,0.001361,2.51%,0
ASM22766-USD,AS Monaco Fan Token USD,1.2599,-0.1316,-9.46%,0
TRT27458-USD,TRUST AI USD,0.032808,0.000285,0.88%,0
CAMLY-USD,Camly Coin USD,0.000159,-0.000002,-1.41%,0
LKC-USD,Lucky Coin USD,0.00000000,0.00000000,0.01%,0
NRP-USD,Neural Protocol USD,0.000034,0.000001,2.27%,0
FUNCH-USD,FUNCH USD,3.2952,-0.0015,-0.04%,0
PAYT-USD,PayAccept USD,0.034866,0.000906,2.67%,0
STZU-USD,Shihtzu Exchange USD,0.00000000,0.00000000,3.83%,0
XFLOKI-USD,XFLOKI USD,0.00000061,-0.00000000,-0.01%,0
AWM-USD,Another World USD,0.037308,-0.002902,-7.22%,0
IPV28367-USD,IPVERSE USD,3.9149,-0.0223,-0.57%,0
SONA-USD,Sona Network USD,0.000042,0.000000,0.00%,0
PRI-USD,PRIVATEUM GLOBAL USD,4.7335,-0.0601,-1.25%,0
BTCINU-USD,Bitcoin Inu USD,0.115724,0.002007,1.76%,0
GTAVI-USD,GTAVI USD,0.00000000,0.00000000,0.01%,0
4ART-USD,4ART Coin USD,0.002010,-0.000120,-5.64%,0
PEPEGRINCH-USD,Pepe Grinch USD,0.00000000,0.00000000,0.00%,0
BOT-USD,Bot Planet USD,0.000389,0.000042,12.27%,0
G-USD,GoodDollar USD,0.000033,0.000002,6.03%,0
BLAZR-USD,BlazerCoin USD,0.000697,0.000018,2.67%,0
BNBTIGER-USD,BNBTiger USD,0.00000000,-0.00000000,-0.58%,0
STNEAR-USD,Staked NEAR USD,8.9364,0.0269,0.30%,0
SHIBANFT-USD,ShibaNFT USD,0.00000000,0.00000000,29.84%,0
ASCN-USD,AlphaScan AI USD,0.101781,0.002195,2.20%,0
GAFA-USD,Gafa USD,0.000272,0.000001,0.52%,0
SION-USD,FC Sion Fan Token USD,0.002528,0.000013,0.52%,0
BABYDOGE20-USD,Babydoge 2.0 USD,0.00000000,0.00000000,7.90%,0
MIST-USD,Alchemist USD,1.1037,0.0108,0.99%,0
AMKT-USD,Alongside Crypto Market Index USD,215.30,5.17,2.46%,0
TRI22612-USD,Trice USD,0.142139,-0.004599,-3.13%,0
FERZAN-USD,Ferzan USD,0.00000002,-0.00000000,-7.48%,0
NEMS-USD,The Nemesis USD,0.031842,0.004434,16.18%,0
CATE9656-USD,CateCoin USD,0.00000045,-0.00000000,-0.26%,0
AXL15853-USD,Axl Inu USD,0.000029,0.000001,2.56%,0
DRAGON29340-USD,BLACK DRAGON USD,0.00000000,0.00000000,4.73%,0
DCT-USD,Degree Crypto Token USD,11.51,0.06,0.51%,0
PRTG-USD,Pre-retogeum USD,3.0508,-0.9296,-23.36%,0
SKIBIDI-USD,Skibidi Toilet USD,0.00000053,0.00000002,3.27%,0
WEVE-USD,veDAO USD,0.000115,0.000008,7.23%,0
MODEX-USD,Modex USD,0.089300,-0.000783,-0.87%,0
RBT-USD,Rimbit USD,0.000697,0.000018,2.67%,0
BLOCK28029-USD,Block Browser USD,0.658086,-0.061984,-8.61%,0
BAS-USD,Basis Share USD,0.229721,0.012231,5.62%,0
TEM-USD,Temtum USD,0.378225,0.009766,2.65%,0
GWT-USD,Galaxy War USD,0.000206,0.000000,0.00%,0
FBX-USD,ForthBox USD,0.000472,-0.000004,-0.86%,0
SMA26263-USD,Soma Network USD,0.000070,0.000000,0.11%,0
BAO29061-USD,BAO USD,0.00000797,0.00000000,0.00%,0
CBANK20702-USD,Cairo Finance USD,1.4325,0.0000,0.00%,0
NSI-USD,nSights DeFi Trader USD,0.00000000,0.00000000,1.64%,0
OPENAIERC-USD,OpenAI ERC USD,0.006689,-0.000951,-12.45%,0
S2K-USD,Sports 2K75 USD,0.00000000,-0.00000000,-0.27%,0
INAE-USD,iNAE USD,0.000382,0.000113,42.05%,0
OBT13914-USD,Oobit USD,0.069048,-0.000017,-0.03%,0
AIBABYDOGE-USD,AIBabyDoge USD,0.00000000,0.00000000,14.49%,0
DAL-USD,DAOLaunch USD,0.024900,-0.000064,-0.26%,0
BABYDOGE2027526-USD,Baby Doge 2.0 USD,0.00000000,0.00000000,4.57%,0
WADA-USD,Wrapped Cardano USD,0.647937,0.043492,7.20%,0
CAPY-USD,Capybara USD,0.004603,-0.001680,-26.73%,0
FOOM-USD,FOOM USD,0.00000003,0.00000000,3.71%,0
LINDACEO-USD,LindaYacc Ceo USD,0.00000000,0.00000000,0.00%,0
ARTR-USD,Artery Network USD,0.002253,0.000200,9.73%,0
DRM-USD,Dreamcoin USD,0.005579,0.000145,2.67%,0
XIDR-USD,XIDR USD,0.000073,-0.000002,-2.66%,0
W3S-USD,Web3Shot USD,0.788217,0.020166,2.63%,0
PIKA-USD,Pika USD,0.00000000,0.00000000,4.62%,0
WAXE-USD,WAXE USD,84.29,0.00,0.00%,0
DMX-USD,Dymmax USD,0.014503,0.000000,0.00%,0
RSPN-USD,Respan USD,0.000037,-0.000000,-0.60%,0
BTTY-USD,Bitcointry Token USD,0.001652,-0.000023,-1.35%,0
MT-USD,MyToken USD,0.000250,-0.000193,-43.57%,0
TRIBL-USD,Tribal Finance USD,0.751626,-0.112565,-13.03%,0
BABYTRUMP29374-USD,Baby Trump USD,0.00000000,0.00000000,4.34%,0
SPAY-USD,SpaceY USD,0.043700,0.000475,1.10%,0
RAKE-USD,RakeIn USD,0.009157,0.000099,1.09%,0
MAI26178-USD,Multi AI USD,0.007352,-0.000037,-0.50%,0
BOOM29209-USD,BOOM DAO USD,0.007442,-0.000143,-1.88%,0
SNAIL-USD,SnailBrook USD,0.000190,0.000003,1.64%,0
HUGO25463-USD,Hugo Inu USD,0.00000000,0.00000000,0.79%,0
RIN26466-USD,Rin Tin Tin USD,0.00000010,0.00000000,0.00%,0
KAP22113-USD,KAP Games USD,0.133438,0.008667,6.95%,0
SONIC24821-USD,Sonic Inu USD,0.00000000,0.00000000,2.87%,0
QCK-USD,Quicksilver USD,0.052179,0.003924,8.13%,0
PEPE22454-USD,PepePAD USD,0.00000751,0.00000047,6.66%,0
CLVX-USD,Calvex USD,0.00000200,0.00000000,0.00%,0
CRAZYPEPE-USD,CRAZY PEPE USD,0.00000000,0.00000000,1.85%,0
OCW-USD,Online Cold Wallet USD,0.057527,0.023038,66.80%,0
MIRA-USD,Chains of War USD,0.006871,0.000311,4.74%,0
DREAM-USD,Dream USD,0.153342,0.000743,0.49%,0
SPT26655-USD,SeaPad USD,0.225902,0.004522,2.04%,0
GROKOLAUS-USD,GROKolaus USD,0.000285,0.000000,0.00%,0
RADIO-USD,RadioShack USD,0.000479,-0.000046,-8.78%,0
PRB19201-USD,Paribu Net USD,0.482983,0.004989,1.04%,0
GLT28635-USD,GeoLeaf (new) USD,0.000199,0.000016,8.97%,0
MTR-USD,Meter Stable USD,0.911254,-0.009032,-0.98%,0
CZZ-USD,ClassZZ USD,0.012790,0.000535,4.37%,0
TUT-USD,Tutellus USD,0.033285,0.000736,2.26%,0
OMI19075-USD,ECOMI USD,0.000735,-0.000012,-1.54%,0
W3W-USD,Web3 Whales USD,0.050941,0.000000,0.00%,0
SHIB05-USD,Half Shiba Inu USD,0.184137,0.036270,24.53%,0
ARCHA-USD,ArchAngel Token USD,0.00000000,-0.00000000,-10.92%,0
SOLC-USD,Solcubator USD,0.000475,-0.000104,-17.98%,0
MST28906-USD,Memes Street USD,0.00000001,0.00000000,1.56%,0
FLY-USD,Franklin USD,0.002735,-0.000408,-12.99%,0
COINBT-USD,CoinBot USD,1.2250,-0.0120,-0.97%,0
BOP-USD,Boring Protocol USD,0.000223,-0.000002,-0.87%,0
CROID-USD,Cronos ID USD,0.219437,-0.027778,-11.24%,0
GINZA-USD,GINZA NETWORK USD,0.002282,0.000006,0.28%,0
PEPEMOON-USD,PEPEMOON USD,0.00000000,-0.00000000,-0.86%,0
SANDG-USD,Save and Gain USD,0.000673,0.000016,2.47%,0
GENE15169-USD,GenomesDao USD,0.017858,-0.001109,-5.84%,0
BABYBTC-USD,BABYBTC USD,0.004903,0.000109,2.28%,0
KITTI-USD,KITTI TOKEN USD,0.00000000,0.00000000,7.85%,0
WHL-USD,WhaleRoom USD,0.460848,0.000282,0.06%,0
TOTEM19518-USD,DragonMaster USD,0.001548,0.000007,0.46%,0
BAKED-USD,reBaked USD,0.002011,-0.000213,-9.56%,0
ARBI25152-USD,ArbiPad USD,0.000250,0.000013,5.35%,0
FST8961-USD,Futureswap USD,0.034835,0.000856,2.52%,0
ZURR-USD,ZURRENCY USD,3.5770,-0.0907,-2.47%,0
DBC17468-USD,Dhabi Coin USD,0.000015,0.000002,16.88%,0
XRDOGE-USD,XRdoge USD,0.000013,0.000000,0.79%,0
JEFF29371-USD,JEFF USD,0.00000072,-0.00000001,-1.72%,0
JKL-USD,Jackal Protocol USD,0.519464,0.037314,7.74%,0
PIF29810-USD,Pepe Wif Hat USD,0.000156,-0.000001,-0.95%,0
BCT-USD,Toucan Protocol: Base Carbon Tonne USD,1.0043,-0.0591,-5.56%,0
MONO15181-USD,MonoX Protocol USD,0.013300,-0.001506,-10.17%,0
SOURCE-USD,ReSource Protocol USD,0.012164,0.001507,14.14%,0
BXC5168-USD,Bitcoin Classic USD,"6,971.13",196.12,2.89%,0
GEOD-USD,GEODNET USD,0.203478,0.003712,1.86%,0
XCASTR-USD,Astar (Moonbeam) USD,0.129822,0.003019,2.38%,0
CLT-USD,CoinLoan USD,0.565079,0.002875,0.51%,0
PFI-USD,PrimeFinance USD,14.93,-0.00,-0.01%,0
ANON29336-USD,Anon USD,12.01,0.00,0.00%,0
REVO20500-USD,REVOLAND TOKEN USD,0.001736,-0.000075,-4.17%,0
LSR-USD,LaserEyes USD,0.001075,0.000009,0.87%,0
VSX-USD,Versus-X USD,0.246232,0.007596,3.18%,0
XVG28354-USD,Verge (ETH) USD,0.000165,0.000004,2.51%,0
POKEMON-USD,Pokemon USD,0.00000000,-0.00000000,-5.63%,0
FLRBRG-USD,Floor Cheese Burger USD,0.000012,0.000000,2.40%,0
CF-USD,Californium USD,0.005579,0.000145,2.67%,0
EURU-USD,Upper Euro USD,1.1827,0.0001,0.00%,0
NOKU-USD,Noku USD,0.355911,-0.000052,-0.01%,0
0KN-USD,0 Knowledge Network USD,0.001241,0.000032,2.62%,0
GROKGIRL-USD,Grok Girl USD,0.00000000,0.00000000,3.22%,0
GROKFATHER-USD,Grok Father USD,0.00000000,-0.00000000,-3.01%,0
KABOSU28721-USD,Kabosu USD,0.000043,0.000005,11.78%,0
LOVE30431-USD,Love Power Coin USD,6.4102,0.0376,0.59%,0
1NFT-USD,1NFT USD,0.00000000,0.00000000,0.00%,0
MYROWIF-USD,MYROWIF USD,0.000070,0.000001,1.43%,0
HAKU-USD,HakuSwap USD,0.000254,0.000000,0.00%,0
YURI-USD,YURI USD,0.00000000,-0.00000000,-8.02%,0
FREL-USD,Freela USD,0.000206,0.000001,0.34%,0
FAME-USD,FARM ME USD,0.000643,0.000004,0.65%,0
CHT26586-USD,CryptoHunterTrading USD,0.005868,0.000016,0.27%,0
OIL19703-USD,Moon Robots USD,0.000152,0.000002,1.18%,0
DANA-USD,Ardana USD,0.002340,0.000022,0.93%,0
SSP-USD,Smartshare USD,0.000011,0.000002,22.17%,0
PTT-USD,POTENT USD,0.000150,-0.000030,-16.78%,0
XODEX-USD,Xodex USD,0.000240,-0.000007,-2.66%,0
PGOLD-USD,Polkagold USD,0.17318,0.00045,0.26%,0
WEN-USD,WEN Token USD,0.00000075,0.00000003,4.47%,0
TBTC26133-USD,tBTC USD,"69,325.55","1,390.16",2.05%,0
AUD-USD,Aussie Digital USD,0.012385,0.003254,35.64%,0
SAN22110-USD,Club Santos Laguna Fan Token USD,0.919570,-0.020436,-2.17%,0
BMW26165-USD,BMW USD,0.00000000,0.00000000,13.43%,0
SNS22404-USD,Melody USD,0.004172,0.000045,1.08%,0
RFT-USD,Rangers Fan Token USD,0.010685,0.000277,2.66%,0
XPX-USD,Sirius Chain USD,0.001377,0.000036,2.66%,0
LSDOGE-USD,LSDoge USD,0.00000000,0.00000000,0.21%,0
DWT26459-USD,DiveWallet Token USD,0.006980,0.000027,0.38%,0
LBA-USD,Cred USD,0.000580,0.000041,7.63%,0
LISA-USD,Lisa Simpson USD,0.00000000,0.00000000,22.96%,0
FXST-USD,FX Stock Token USD,2.2876,0.1120,5.15%,0
CLNX-USD,Coloniume Network USD,0.118530,0.001837,1.57%,0
QUARTZ-USD,QUARTZ USD,0.232623,0.001316,0.57%,0
APEX27973-USD,ApexCoin USD,0.029818,-0.000280,-0.93%,0
FTRB-USD,Faith Tribe USD,0.005473,0.000173,3.27%,0
VRSE-USD,CronosVerse USD,0.001179,0.000038,3.31%,0
SNPS-USD,Snaps USD,0.000012,-0.000000,-0.50%,0
BNBSONGOKU-USD,BNBsongoku USD,0.000000,0.000000,0.00%,0
ICH-USD,Idea Chain Coin USD,0.000599,0.000009,1.52%,0
RUNY-USD,Runy USD,0.000382,0.000004,1.18%,0
HF-USD,Have Fun USD,0.00000001,0.00000000,0.82%,0
G1X-USD,GoldFinX USD,0.001138,0.000003,0.23%,0
IPMB-USD,IPMB USD,80.07,-1.28,-1.57%,0
DUCK-USD,Unit Protocol Duck USD,0.001185,0.000022,1.92%,0
MPS-USD,Mt Pelerin Shares USD,4.1090,0.1788,4.55%,0
DOGMI-USD,DOGMI USD,0.00000000,0.00000000,1.45%,0
CFT20612-USD,RC Celta de Vigo Fan Token USD,0.003468,0.000070,2.06%,0
SWP27108-USD,Swype USD,0.000480,-0.000041,-7.80%,0
LFG28913-USD,LessFnGas USD,0.00000178,0.00000007,4.25%,0
CHE-USD,CherrySwap USD,0.009901,-0.000001,-0.01%,0
GLINT28327-USD,Glint Coin USD,0.492000,-0.019119,-3.74%,0
ECC14404-USD,Etherconnect USD,0.00000000,0.00000000,572.00%,0
0XSEARCH-USD,Search USD,0.117821,-0.013448,-10.24%,0
BODEN-USD,Jeo Boden USD,0.724621,0.038801,5.66%,0
KAF-USD,KAIF Platform USD,0.003476,0.000090,2.67%,0
JNGL-USD,Jungle Labz USD,0.370036,-0.010984,-2.88%,0
LTT-USD,LocalTrade USD,0.007101,0.000000,0.00%,0
IVI-USD,IVIRSE USD,0.029188,-0.000227,-0.77%,0
XBLZD-USD,Blizzard.money USD,0.004326,0.000008,0.19%,0
CNG-USD,Changer USD,0.043084,0.000789,1.86%,0
INUKO-USD,Inuko Finance USD,0.018917,0.000000,0.00%,0
XRP20-USD,XRP 2.0 USD,0.00000000,-0.00000000,-8.57%,0
USDTZ-USD,USDtez USD,1.0014,0.0111,1.12%,0
LSC-USD,Last Survivor USD,0.000198,0.000003,1.33%,0
YYAVAX-USD,Yield Yak AVAX USD,54.32,4.46,8.95%,0
CRK-USD,Croking USD,0.223575,0.003072,1.39%,0
BCEO23819-USD,BabyDoge CEO USD,0.00000000,0.00000000,-0.00%,0
XVR-USD,Xover USD,0.00000005,0.00000000,2.30%,0
LIZARD29138-USD,LIZARD USD,0.001147,-0.000013,-1.11%,0
DEC6264-USD,Dark Energy Crystals USD,0.000867,0.000002,0.23%,0
XFIT-USD,XFai USD,0.033037,-0.000643,-1.91%,0
TIUSD-USD,TiUSD USD,0.935760,-0.031321,-3.24%,0
LBR23870-USD,Libra Protocol USD,0.108301,0.005998,5.86%,0
PIE-USD,DeFiPie USD,0.001132,-0.000000,-0.01%,0
KST-USD,KSwap USD,0.000181,-0.000001,-0.59%,0
AIT-USD,AICHAIN USD,0.003447,0.000110,3.30%,0
ETF28364-USD,ETF USD,0.006036,0.003267,118.01%,0
MICRO-USD,Micromines USD,0.00000558,0.00000011,1.96%,0
EON-USD,Hyper USD,0.001351,0.000000,0.00%,0
RBD-USD,Rubidium USD,0.035520,0.001192,3.47%,0
MPX23431-USD,Morphex USD,0.052503,0.002660,5.34%,0
ZEPH28492-USD,Zephyr Protocol USD,16.09,1.92,13.52%,0
DAF25671-USD,Diamond Are Forever USD,0.000176,0.000000,0.00%,0
GREEN28720-USD,Green USD,0.000377,-0.000103,-21.43%,0
VEIL28576-USD,Veil USD,0.005156,-0.000021,-0.41%,0
STS27047-USD,Stasis Network USD,0.000041,0.000004,10.97%,0
LFG26915-USD,LFG USD,0.104966,0.041403,65.14%,0
SURF21199-USD,Surf Live USD,0.072020,-0.054008,-42.85%,0
ELK-USD,Elk Finance USD,0.157624,0.005704,3.75%,0
KIZUNA-USD,KIZUNA USD,0.00000002,0.00000000,23.05%,0
SATSALL-USD,ALL BEST ICO SATOSHI USD,0.000050,-0.000008,-14.26%,0
COLLAR12695-USD,PolyPup Finance USD,0.001036,0.000003,0.25%,0
XPD-USD,PetroDollar USD,0.009763,-0.009254,-48.66%,0
UUU-USD,U Network USD,0.00000259,-0.00000013,-4.71%,0
MNS16282-USD,MansaTrade USD,0.002291,0.000165,7.76%,0
OPTCM-USD,Optimus USD,0.003287,-0.000001,-0.02%,0
CRT-USD,Carrot USD,0.072322,0.000165,0.23%,0
AKT29457-USD,Akita Inu USD,0.000147,0.000006,4.37%,0
NTR-USD,Nether NFT USD,0.000650,-0.000000,-0.01%,0
CGV-USD,Cogito Finance USD,0.205435,0.012184,6.30%,0
UBI-USD,Universal Basic Income USD,0.000744,0.000003,0.35%,0
JUNO-USD,JUNO USD,0.288217,0.003048,1.07%,0
PG27723-USD,PEGO Network USD,0.345095,-0.000973,-0.28%,0
KKT-USD,Kingdom Karnage USD,0.000695,-0.000000,-0.05%,0
MAGA28845-USD,TRUMP USD,0.00000239,0.00000023,10.44%,0
PWT-USD,PANDAINU USD,0.00000110,-0.00000004,-3.93%,0
CYS-USD,Cykura USD,0.008295,0.000516,6.63%,0
FIWA-USD,DeFi Warrior (FIWA) USD,0.000084,0.000002,2.34%,0
USK-USD,USK USD,0.997975,0.002134,0.21%,0
JFI-USD,JackPool.finance USD,7.4622,0.0164,0.22%,0
IDH-USD,indaHash USD,0.000240,0.000006,2.45%,0
MEER-USD,Qitmeer Network USD,0.041370,-0.001429,-3.34%,0
GS1-USD,NFTGamingStars USD,0.000461,-0.000004,-0.90%,0
ZUCKPEPE-USD,ZuckPepe USD,0.00000000,0.00000000,0.96%,0
TEN18320-USD,Teneo USD,0.001817,0.000000,0.00%,0
DGI29112-USD,DGI Game USD,0.049766,-0.003367,-6.34%,0
SOCOLA-USD,SOCOLA INU USD,0.000017,-0.000001,-8.03%,0
MOFI-USD,MobiFi USD,0.003967,0.000275,7.45%,0
SUDO-USD,sudoswap USD,0.186927,-0.003800,-1.99%,0
PLXY-USD,Plxyer USD,0.021005,-0.000131,-0.62%,0
BTCV-USD,BitcoinV USD,0.000697,0.000018,2.65%,0
TAUM-USD,Orbitau Taureum USD,0.000050,-0.000000,-0.43%,0
NYAN11854-USD,ArbiNYAN USD,0.005042,0.000025,0.50%,0
KPL-USD,Kepple USD,0.000112,0.000003,2.67%,0
WADA-USD,Wrapped Cardano USD,0.647937,0.043492,7.20%,0
FOOM-USD,FOOM USD,0.00000003,0.00000000,3.71%,0
BFK-USD,BFK Warzone USD,0.000110,0.000004,3.53%,0
SST12246-USD,Social Swap Token USD,0.001500,0.000000,0.01%,0
WNEAR-USD,Wrapped Near USD,6.9751,0.0113,0.16%,0
DMX-USD,Dymmax USD,0.014503,0.000000,0.00%,0
LMAO-USD,Long Mao USD,0.002827,0.000410,16.95%,0
RSPN-USD,Respan USD,0.000037,-0.000000,-0.60%,0
PHCR-USD,PhotoChromic USD,0.00000627,0.00000115,22.41%,0
DUX-USD,DUX USD,0.005252,0.000112,2.19%,0
UNIDEXAI-USD,UniDexAI USD,2.3905,-0.0253,-1.05%,0
HNST-USD,Honest USD,0.005413,0.000063,1.18%,0
DIFX-USD,Digital Financial Exchange USD,0.163228,0.003391,2.12%,0
SIDE-USD,Side.xyz USD,0.002089,-0.000163,-7.25%,0
BIZZ-USD,BIZZCOIN USD,0.000149,-0.000000,-0.02%,0
KRN27984-USD,KRYZA Network USD,0.000349,-0.000014,-3.84%,0
CATO-USD,CATO USD,0.005544,-0.000748,-11.89%,0
ZARP-USD,ZARP Stablecoin USD,0.051944,0.000067,0.13%,0
W3W-USD,Web3 Whales USD,0.050941,0.000000,0.00%,0
SHIB05-USD,Half Shiba Inu USD,0.184137,0.036270,24.53%,0
ARCHA-USD,ArchAngel Token USD,0.00000000,-0.00000000,-10.92%,0
SOLC-USD,Solcubator USD,0.000475,-0.000104,-17.98%,0
MST28906-USD,Memes Street USD,0.00000001,0.00000000,1.56%,0
FLY-USD,Franklin USD,0.002735,-0.000408,-12.99%,0
COINBT-USD,CoinBot USD,1.2250,-0.0120,-0.97%,0
BOP-USD,Boring Protocol USD,0.000223,-0.000002,-0.87%,0
CROID-USD,Cronos ID USD,0.219437,-0.027778,-11.24%,0
GINZA-USD,GINZA NETWORK USD,0.002282,0.000006,0.28%,0
PEPEMOON-USD,PEPEMOON USD,0.00000000,-0.00000000,-0.86%,0
SANDG-USD,Save and Gain USD,0.000673,0.000016,2.47%,0
GENE15169-USD,GenomesDao USD,0.017858,-0.001109,-5.84%,0
BABYBTC-USD,BABYBTC USD,0.004903,0.000109,2.28%,0
KITTI-USD,KITTI TOKEN USD,0.00000000,0.00000000,7.85%,0
WHL-USD,WhaleRoom USD,0.460848,0.000282,0.06%,0
TOTEM19518-USD,DragonMaster USD,0.001548,0.000007,0.46%,0
BAKED-USD,reBaked USD,0.002011,-0.000213,-9.56%,0
ARBI25152-USD,ArbiPad USD,0.000250,0.000013,5.35%,0
FST8961-USD,Futureswap USD,0.034835,0.000856,2.52%,0
ZURR-USD,ZURRENCY USD,3.5770,-0.0907,-2.47%,0
DBC17468-USD,Dhabi Coin USD,0.000015,0.000002,16.88%,0
XRDOGE-USD,XRdoge USD,0.000013,0.000000,0.79%,0
JEFF29371-USD,JEFF USD,0.00000072,-0.00000001,-1.72%,0
JKL-USD,Jackal Protocol USD,0.519464,0.037314,7.74%,0
PIF29810-USD,Pepe Wif Hat USD,0.000156,-0.000001,-0.95%,0
BCT-USD,Toucan Protocol: Base Carbon Tonne USD,1.0043,-0.0591,-5.56%,0
MONO15181-USD,MonoX Protocol USD,0.013300,-0.001506,-10.17%,0
SOURCE-USD,ReSource Protocol USD,0.012164,0.001507,14.14%,0
BXC5168-USD,Bitcoin Classic USD,"6,971.13",196.12,2.89%,0
