symbol,name,price,change_price,change_percent,market_price
MOBILE-USD,Helium Mobile USD,0.003093,-0.000034,-1.07%,254.461M
ABT-USD,Arcblock USD,2.5765,0.3402,15.21%,253.923M
RSS3-USD,RSS3 USD,0.479424,0.046392,10.71%,253.907M
PORTAL29555-USD,Portal USD,1.6979,0.0630,3.85%,252.202M
LSK-USD,Lisk USD,1.9547,-0.0039,-0.20%,251.956M
PRO-USD,Propy USD,2.5174,0.4223,20.16%,251.74M
BORG-USD,SwissBorg USD,0.252645,-0.004614,-1.79%,248.655M
WILD-USD,Wilder World USD,0.940070,-0.046041,-4.67%,248.344M
RLC-USD,iExec RLC USD,3.4269,0.0694,2.07%,248.05M
BIGTIME-USD,Big Time USD,0.317906,0.017705,5.90%,243.231M
CELR-USD,Celer Network USD,0.031115,0.001884,6.44%,240.934M
IOST-USD,IOST USD,0.011279,0.000329,3.00%,240.422M
XVS-USD,Venus USD,15.14,0.40,2.68%,239.709M
MYRO-USD,Myro USD,0.253243,0.018146,7.72%,239.113M
BNX23635-USD,BinaryX USD,0.669314,0.012838,1.96%,238.33M
DAO-USD,DAO Maker USD,1.5785,0.0302,1.95%,236.765M
SFUND-USD,Seedify.fund USD,3.9208,0.0135,0.35%,235.271M
USTC-USD,TerraClassicUSD USD,0.026076,0.000717,2.83%,233.424M
LSD28047-USD,L7 USD,5.6650,0.4501,8.63%,231.933M
SYS-USD,Syscoin USD,0.290121,0.009131,3.25%,227.432M
SLP-USD,Smooth Love Potion USD,0.005448,0.000191,3.64%,225.502M
AGI-USD,Delysium USD,0.337413,0.007792,2.36%,223.433M
TRB-USD,Tellor USD,86.94,1.55,1.81%,222.809M
IQ-USD,IQ USD,0.012223,0.000171,1.42%,220.416M
STRAX30168-USD,Stratis [New] USD,0.115746,0.002150,1.89%,220.164M
SLERF-USD,SLERF USD,0.439411,0.029951,7.31%,219.705M
AI28846-USD,Sleepless AI USD,1.5514,0.0725,4.90%,218.643M
CTSI-USD,Cartesi USD,0.278868,0.006573,2.41%,218.316M
VVS-USD,VVS Finance USD,0.00000485,0.00000006,1.29%,217.899M
NMR-USD,Numeraire USD,34.43,1.28,3.86%,216.422M
DUSK-USD,Dusk USD,0.513290,0.038780,8.17%,216.18M
ALPH-USD,Alephium USD,2.8764,-0.0741,-2.51%,214.594M
BORA-USD,BORA USD,0.211017,0.008168,4.03%,209.698M
CVC-USD,Civic USD,0.209183,0.005000,2.45%,209.183M
HBTC-USD,Huobi BTC USD,"23,271.93",-581.85,-2.44%,208.738M
KEEP-USD,Keep Network USD,0.215603,0.004553,2.16%,205.101M
HIVE-USD,Hive USD,0.408724,0.021726,5.61%,204.668M
GPU-USD,Node AI USD,2.2595,0.0232,1.04%,203.955M
ZCX-USD,Unizen USD,0.286210,0.009191,3.32%,198.28M
XNO-USD,Nano USD,1.4848,0.0758,5.38%,197.853M
WMT-USD,World Mobile Token USD,0.399280,0.071957,21.98%,196.382M
POWR-USD,Powerledger USD,0.379014,0.014800,4.06%,194.198M
HOOK-USD,Hooked Protocol USD,1.3941,0.0618,4.64%,194.134M
ZEN-USD,Horizen USD,13.00,0.28,2.24%,193.123M
ACE28674-USD,Fusionist USD,8.7192,0.2406,2.84%,191.557M
PYUSD-USD,PayPal USD USD,0.999523,0.000082,0.01%,191.527M
USDB29599-USD,USDB USD,1.0114,0.0038,0.38%,191.481M
PUNDIX-USD,Pundi X (New) USD,0.734931,-0.019422,-2.57%,189.973M
RBTC-USD,Rootstock Smart Bitcoin USD,"69,182.82","1,708.26",2.53%,189.846M
BLZ-USD,Bluzelle USD,0.442650,0.024489,5.86%,189.455M
APEX19843-USD,ApeX Protocol USD,3.3436,0.0287,0.87%,186.819M
PEOPLE-USD,ConstitutionDAO USD,0.036820,0.001596,4.53%,186.313M
ORCA-USD,Orca USD,3.7178,0.0664,1.82%,185.853M
CQT-USD,Covalent USD,0.270457,0.000394,0.15%,185.711M
NOIA-USD,Syntropy USD,0.254422,0.039247,18.24%,185.614M
PYR-USD,Vulcan Forged (PYR) USD,6.5767,0.1543,2.40%,184.805M
NFP28778-USD,NFPrompt USD,0.736417,0.027125,3.82%,184.104M
DENT-USD,Dent USD,0.001835,0.000106,6.16%,183.526M
SNT-USD,Status USD,0.046975,0.002080,4.63%,182.144M
PHA-USD,Phala Network USD,0.255869,0.021388,9.12%,181.58M
ORAI-USD,Oraichain USD,14.24,0.30,2.14%,180.966M
FLEX-USD,FLEX USD,1.8212,-0.0164,-0.89%,179.685M
NXRA-USD,AllianceBlock Nexera USD,0.231124,-0.017891,-7.18%,177.571M
OAS-USD,Oasys USD,0.085307,0.004222,5.21%,177.465M
BTRST-USD,Braintrust USD,0.790010,0.005772,0.74%,177.179M
ADF-USD,Art de Finance USD,1.1785,0.1632,16.07%,176.92M
TRU7725-USD,TrueFi USD,0.157989,0.019307,13.92%,176.015M
